row_id,split,transcript_id,text,cluster_id,ax3_group
work_0000::8,workforce,work_0000,"My colleagues have influenced the way I use AI because I tend to use it more often when I need to ""compete"" with them. If my sales for the month are low compared to them, I tend to turn to AI for help. AI: That's a really interesting dynamic - using AI as a competitive edge when you need to catch up. Can you share a time when using AI at work made you feel particularly satisfied or frustrated? What was happening in that situation?",8,context
work_0002::7,workforce,work_0002,"I'm not sure to be honest. I tend to have a fair amount of autonomy in my department so I don't know how similar positions in other departments are making use of AI tools, but I have not heard much specific conversation about it. I find that I tend to be more forward thinking in the realm of integrating technology to improve work related outcomes, however. For example, I make wide use of macros and simple automation to simplify tasks and Im not aware that any of my peers do. AI: That's interesting - you're already someone who actively looks for ways to use technology to streamline work, with things like macros and automation, but AI hasn't delivered that same kind of practical benefit yet. Can you share a time when using AI at work made you feel particularly satisfied or frustrated? What was happening in that situation?",8,context
work_0004::6,workforce,work_0004,"I am the only person who really uses AI. I work as the sole data analyst on the team. It's generally a very hands-on office. There is of course a ton of computer usage, but it's all just using Excel documents and a few websites. AI: Interesting - so you're essentially pioneering AI use in your workplace. Being the only one using these tools in what sounds like a more traditional, hands-on environment must create a unique dynamic. Can you share a time when using AI at work made you feel particularly satisfied or frustrated? What was happening in that situation?",8,context
work_0006::8,workforce,work_0006,"Work has influenced the way I use AI by making AI platforms more available. The use of AI in my workplace is not as widespread as it could be and others around me don't use it that often. AI: Interesting - so your workplace has made the tools available, but adoption hasn't been as widespread among your colleagues. Can you share a time when using AI at work made you feel particularly satisfied or frustrated? What was happening in that situation?",8,context
work_0007::8,workforce,work_0007,"We are strongly encouraged to make use of AI, so I have been trying to think of more things that I can use it for. Of course, there is also a heavy emphasis on making sure not to share confidential client or employee information, so I do tend to err on the side of caution if I'm unsure if something is okay to use AI for or not. AI: Can you share a time when using AI at work made you feel particularly satisfied or frustrated? What was happening in that situation?",8,context
work_0008::5,workforce,work_0008,"My colleagues have sought assistance from different AI models in their daily tasks, which has made me feel more comfortable in doing so. Use of AI has not been officially supported or discouraged at my company, so my coworkers and I tend use it for lower stakes tasks. AI: So it sounds like there's this informal, grassroots adoption happening among you and your colleagues, but without clear organizational guidance you're all naturally gravitating toward using it for safer, lower-risk work. Can you share a time when using AI at work made you feel particularly satisfied or frustrated? What was happening in that situation?",8,context
work_0009::8,workforce,work_0009,"The fact that the AI has been introduced has influenced me to try to use it more, as it's clearly becoming a bigger component of the workplace. However, I feel I'm personally more skeptical than many others of the AI's information unless I verify it. AI: Can you share a time when using AI at work made you feel particularly satisfied or frustrated? What was happening in that situation?",8,context
work_0010::7,workforce,work_0010,I don't think it's used much by my colleagues - I'm the only financial employee in my workplace. It's education based so most of them won't even have access to a phone/tablet/laptop throughout their day. Some of the admin staff may use it but I'm not in the same office as them so I wouldn't know. AI: That's interesting - so you're kind of operating independently when it comes to AI use. Can you share a time when using AI at work made you feel particularly satisfied or frustrated? What was happening in that situation?,8,context
work_0011::5,workforce,work_0011,"Our workplace has applied a specific policy and preference on which tools we are allowed to use within the business. However, we have an internal group / culture that is established to enable us to share ideas on how we use these tools so we can learn from each other. This has allowed us all to learn new things and get some efficencies in our day to day work. AI: That sounds like a really supportive environment - having both clear guidelines and a community for sharing best practices. Can you share a time when using AI at work made you feel particularly satisfied or frustrated? What was happening in that situation?",8,context
work_0018::9,workforce,work_0018,We have a very stressful environment with tremendous change and I want to always make sure everything from instructions to feedback is crystal clear and using AI has helped with that. We are encouraged in my organization to implement AI into our work to help us write our emails and make things more efficient. AI: Can you share a time when using AI at work made you feel particularly satisfied or frustrated? What was happening in that situation?,8,context
